t_s,robot_x,robot_y,robot_z,robot_qw,robot_qx,robot_qy,robot_qz,elevator_x,elevator_y,elevator_z,elevator_qw,elevator_qx,elevator_qy,elevator_qz,pivot_x,pivot_y,pivot_z,pivot_qw,pivot_qx,pivot_qy,pivot_qz
1.817844,5.129379,5.524695,0.000000,0.851842,0.000000,0.000000,0.523800,0.000000,0.000000,0.803579,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.664004,-0.439305,0.000000,-0.898338,0.000000
1.839974,5.129986,5.524237,0.000000,0.851861,0.000000,0.000000,0.523768,0.000000,0.000000,0.803021,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663446,-0.452350,0.000000,-0.891841,0.000000
1.858005,5.129756,5.524084,0.000000,0.851899,0.000000,0.000000,0.523706,0.000000,0.000000,0.799716,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.660141,-0.456449,0.000000,-0.889750,0.000000
1.877816,5.129473,5.523818,0.000000,0.852023,0.000000,0.000000,0.523504,0.000000,0.000000,0.800205,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.660630,-0.457131,0.000000,-0.889399,0.000000
1.897832,5.129206,5.523687,0.000000,0.852111,0.000000,0.000000,0.523361,0.000000,0.000000,0.800850,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.661275,-0.455766,0.000000,-0.890099,0.000000
1.917828,5.128430,5.523453,0.000000,0.852037,0.000000,0.000000,0.523482,0.000000,0.000000,0.801712,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662137,-0.456449,0.000000,-0.889750,0.000000
1.937825,5.127872,5.522925,0.000000,0.852102,0.000000,0.000000,0.523375,0.000000,0.000000,0.801960,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662385,-0.453033,0.000000,-0.891493,0.000000
1.959807,5.127419,5.522442,0.000000,0.852207,0.000000,0.000000,0.523205,0.000000,0.000000,0.802357,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662782,-0.450296,0.000000,-0.892879,0.000000
1.977838,5.127105,5.522325,0.000000,0.852307,0.000000,0.000000,0.523041,0.000000,0.000000,0.802630,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663055,-0.448241,0.000000,-0.893913,0.000000
1.997872,5.128049,5.522221,0.000000,0.852287,0.000000,0.000000,0.523074,0.000000,0.000000,0.802822,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663247,-0.449611,0.000000,-0.893224,0.000000
2.017831,5.129869,5.522610,0.000000,0.852149,0.000000,0.000000,0.523299,0.000000,0.000000,0.802822,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663247,-0.454400,0.000000,-0.890798,0.000000
2.037810,5.131058,5.522429,0.000000,0.852042,0.000000,0.000000,0.523473,0.000000,0.000000,0.802735,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663160,-0.457131,0.000000,-0.889399,0.000000
2.057807,5.131320,5.521698,0.000000,0.851896,0.000000,0.000000,0.523711,0.000000,0.000000,0.802717,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663142,-0.457813,0.000000,-0.889048,0.000000
2.077822,5.131889,5.521724,0.000000,0.851620,0.000000,0.000000,0.524160,0.000000,0.000000,0.802791,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663216,-0.457813,0.000000,-0.889048,0.000000
2.097875,5.131974,5.521176,0.000000,0.851207,0.000000,0.000000,0.524830,0.000000,0.000000,0.802810,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663235,-0.459177,0.000000,-0.888345,0.000000
2.117835,5.132490,5.520429,0.000000,0.850517,0.000000,0.000000,0.525947,0.000000,0.000000,0.802754,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.663179,-0.461219,0.000000,-0.887286,0.000000
2.137813,5.133645,5.519212,0.000000,0.849416,0.000000,0.000000,0.527724,0.000000,0.000000,0.802339,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662764,-0.461900,0.000000,-0.886932,0.000000
2.157865,5.134885,5.517385,0.000000,0.848808,0.000000,0.000000,0.528701,0.000000,0.000000,0.801960,1.000000,0.000000,0.000000,0.000000,-0.088900,0.000000,1.662385,-0.464619,0.000000,-0.885511,0.000000
